InvoiceDate,Invoice,TotalAmount,Churn
2011-01-18 10:01:00,1,77183.6,1
2011-12-07 15:52:00,7,4310.0,0
2011-09-25 13:13:00,4,1797.24,0
2011-11-21 09:51:00,1,1757.55,0
2011-02-02 16:01:00,1,334.4,1
2011-11-03 14:37:00,8,2506.04,0
2011-05-19 17:47:00,1,89.0,1
2011-04-21 13:11:00,1,1079.4,1
2011-05-09 13:49:00,1,459.4,1
2011-11-17 08:40:00,3,2811.43,0
2011-11-06 16:07:00,1,6207.67,0
2011-12-08 10:26:00,2,1168.06,0
2011-10-13 12:47:00,4,6310.03,0
2011-10-18 15:22:00,3,2662.06,0
2011-02-25 13:51:00,1,189.9,1
2011-12-06 15:40:00,10,5226.23,0
2011-08-22 10:18:00,2,552.0,1
2011-12-02 10:22:00,4,1313.1,0
2011-02-21 14:04:00,2,641.38,1
2011-12-05 16:48:00,1,168.9,0
2011-10-19 14:51:00,4,3541.94,0
2011-10-26 10:16:00,2,1887.96,0
2011-09-29 12:12:00,3,1298.04,0
2011-02-01 13:10:00,1,364.6,1
2011-11-14 15:37:00,1,742.9300000000001,0
2011-11-29 10:36:00,2,457.5,0
2011-01-28 15:45:00,2,1628.12,1
2011-08-02 10:34:00,1,4008.62,1
2011-09-19 10:09:00,2,852.24,0
2011-11-18 11:27:00,4,2724.81,0
2011-12-05 12:44:00,5,1845.31,0
2011-06-08 08:02:00,5,1850.56,1
2011-11-11 08:39:00,2,585.27,0
2011-01-06 12:37:00,2,401.9,1
2011-11-24 12:30:00,6,2780.66,0
2011-09-21 09:33:00,1,549.84,0
2011-11-18 12:07:00,1,439.66,0
2011-09-28 15:41:00,4,1582.6000000000001,0
2011-10-07 08:08:00,2,1272.48,0
2011-11-20 15:21:00,12,3018.63,0
2011-11-04 09:52:00,2,2409.9,0
2011-10-25 10:27:00,1,1635.6599999999999,0
2011-08-12 13:15:00,4,1108.65,1
2011-02-09 13:50:00,1,84.3,1
2011-01-20 13:49:00,1,225.6,1
2011-10-21 10:51:00,1,427.7,0
2011-07-14 08:52:00,1,1710.39,1
2011-11-17 19:22:00,2,3415.3,0
2011-10-21 10:11:00,5,1708.1200000000001,0
2011-11-07 12:27:00,5,2888.55,0
2011-09-22 10:38:00,3,11072.67,0
2011-02-04 10:39:00,2,693.3299999999999,1
2011-09-26 10:16:00,3,1226.88,0
2011-10-04 09:00:00,3,758.1,0
2011-05-06 14:51:00,3,562.41,1
2011-11-15 14:22:00,21,124914.53,0
2011-12-06 14:52:00,9,3649.1,0
2011-08-19 11:08:00,1,668.58,1
2011-10-07 08:55:00,1,600.39,0
2011-11-24 09:07:00,4,807.04,0
2011-09-05 09:48:00,3,803.5600000000001,1
2011-12-09 10:10:00,8,1859.31,0
2011-06-30 12:06:00,2,1760.96,1
2011-09-22 17:31:00,1,777.2,0
2011-05-29 12:26:00,1,582.73,1
2011-11-18 08:56:00,3,825.8,0
2011-11-14 08:22:00,9,7956.46,0
2011-11-30 17:22:00,4,3750.4,0
2011-10-27 15:09:00,1,256.4,0
2011-11-04 11:55:00,15,6419.95,0
2011-10-28 11:43:00,5,5059.32,0
2011-12-09 10:02:00,7,13375.87,0
2011-09-16 12:38:00,2,806.14,0
2011-09-21 09:06:00,2,7829.89,0
2011-09-01 12:09:00,1,509.01,1
2011-12-08 11:35:00,18,4951.41,0
2011-11-25 13:28:00,2,2906.85,0
2010-12-08 10:45:00,1,173.55,1
2011-12-06 14:22:00,1,172.06,0
2011-11-18 13:23:00,5,5005.46,0
2011-11-17 18:43:00,1,133.4,0
2011-10-13 12:50:00,1,1002.3100000000001,0
2011-04-10 13:25:00,1,476.49,1
2011-10-26 13:46:00,1,449.45,0
2011-11-17 13:46:00,4,4067.29,0
2011-07-06 14:41:00,2,197.88,1
2011-11-29 08:40:00,5,9035.52,0
2011-11-23 10:28:00,2,430.57,0
2011-07-28 14:08:00,1,707.09,1
2011-10-14 17:13:00,1,3528.34,0
2011-09-27 15:31:00,6,2466.86,0
2011-10-26 14:41:00,3,3181.04,0
2011-10-04 13:13:00,7,2363.23,0
2011-09-29 15:25:00,2,947.4,0
2011-09-06 16:57:00,2,826.88,1
2011-11-21 09:11:00,2,1189.59,0
2011-10-17 13:44:00,4,1344.78,0
2011-11-29 13:33:00,8,1212.05,0
2011-11-22 16:34:00,2,742.1899999999999,0
2011-06-05 11:36:00,2,729.5400000000001,1
2011-12-07 15:43:00,30,19788.65,0
2011-11-07 14:01:00,7,6572.11,0
2011-11-10 13:46:00,5,3928.0499999999997,0
2011-11-22 14:39:00,18,7324.09,0
2011-10-17 10:10:00,1,723.38,0
2011-11-24 12:40:00,11,6816.42,0
2011-11-17 09:51:00,6,13219.74,0
2011-12-06 09:56:00,1,680.99,0
2011-11-28 13:26:00,1,527.2,0
2011-11-11 14:52:00,4,3281.63,0
2011-11-17 08:29:00,10,5579.82,0
2011-11-22 17:02:00,8,2484.98,0
2011-11-07 11:37:00,6,4527.32,0
2011-11-30 08:50:00,3,1298.66,0
2011-01-07 13:13:00,1,334.93,1
2011-12-04 16:07:00,10,5417.93,0
2011-11-01 12:18:00,1,460.40000000000003,0
2011-10-07 15:15:00,2,263.21000000000004,0
2011-06-27 10:17:00,2,433.74,1
2011-11-24 09:34:00,7,1246.1000000000001,0
2011-09-19 12:29:00,1,1043.1,0
2011-11-18 12:53:00,3,403.70000000000005,0
2011-11-16 16:20:00,11,4257.82,0
2011-01-07 12:28:00,1,2169.39,1
2011-09-05 11:52:00,5,3723.87,1
2011-11-21 16:02:00,2,482.04999999999995,0
2011-04-21 08:54:00,1,73.5,1
2011-07-28 17:09:00,3,1304.81,1
2011-11-13 15:37:00,2,397.88,0
2011-02-28 14:45:00,1,176.5,1
2011-07-20 10:15:00,2,982.5699999999999,1
2011-10-04 14:55:00,2,132.18,0
2011-08-19 10:51:00,1,612.29,1
2011-03-17 16:38:00,1,1017.68,1
2010-12-21 15:43:00,1,383.7,1
2011-09-23 09:13:00,2,1312.06,0
2011-11-11 14:04:00,5,2481.6,0
2011-12-09 10:13:00,5,2056.89,0
2011-10-07 09:26:00,1,330.84,0
2011-09-21 15:23:00,5,2634.26,0
2011-07-20 10:51:00,1,599.68,1
2011-10-31 15:30:00,2,192.72,0
2011-11-20 12:55:00,11,1789.77,0
2011-11-30 15:31:00,8,4485.72,0
2011-12-09 12:09:00,3,1316.66,0
2011-09-19 11:55:00,3,348.71000000000004,0
2011-11-30 14:40:00,6,1933.48,0
2011-10-11 12:34:00,4,1662.28,0
2011-11-25 11:12:00,1,125.22,0
2011-11-09 13:47:00,1,349.83000000000004,0
2011-08-01 10:26:00,1,1089.18,1
2011-09-09 08:48:00,2,716.35,1
2011-10-27 14:20:00,3,12601.830000000002,0
2011-11-10 17:16:00,1,363.95,0
2011-11-17 13:30:00,4,5568.35,0
2011-11-20 11:31:00,17,13400.24,0
2011-11-10 10:40:00,3,981.18,0
2011-11-03 16:15:00,1,372.7,0
2011-09-25 13:39:00,2,1000.39,0
2011-10-24 12:09:00,2,1161.5,0
2011-05-26 12:38:00,2,207.79999999999998,1
2011-06-26 15:35:00,1,95.19999999999999,1
2011-09-21 14:35:00,1,964.83,0
2010-12-17 11:23:00,1,168.0,1
2011-11-01 10:02:00,2,437.82,0
2011-12-01 16:38:00,10,3692.28,0
2011-10-20 13:06:00,2,599.56,0
2011-11-23 16:59:00,5,11990.960000000001,0
2011-12-02 10:41:00,1,269.96,0
2011-02-02 09:49:00,2,561.71,1
2011-12-04 13:54:00,3,2134.01,0
2011-02-10 11:39:00,1,238.85,1
2011-12-01 17:20:00,7,3781.7400000000002,0
2011-03-23 14:55:00,1,456.9,1
2011-02-24 10:34:00,1,145.92,1
2011-09-14 14:30:00,1,351.65,0
2011-11-17 11:02:00,10,9401.28,0
2011-12-07 16:24:00,32,4124.69,0
2011-10-31 10:19:00,2,519.61,0
2011-12-01 09:20:00,2,1020.42,0
2011-04-26 15:52:00,1,160.54000000000002,1
2011-01-28 09:20:00,1,218.45,1
2011-11-04 10:11:00,5,1315.83,0
2011-11-04 13:24:00,3,626.6,0
2011-11-18 13:30:00,2,2794.51,0
2011-09-22 17:15:00,1,440.42,0
2011-04-07 10:24:00,1,415.7,1
2011-10-31 08:56:00,1,197.71,0
2011-04-15 08:45:00,2,511.36,1
2011-12-07 08:07:00,15,7281.38,0
2011-12-06 09:35:00,9,2338.15,0
2011-04-19 13:39:00,2,2040.1,1
2011-11-22 16:24:00,1,196.94000000000003,0
2011-12-02 12:47:00,1,144.0,0
2011-10-31 15:01:00,1,214.89999999999998,0
2011-11-11 10:19:00,2,646.68,0
2011-05-12 14:52:00,2,9864.26,1
2011-01-26 14:35:00,1,452.84999999999997,1
