Description,Quantity,CurrentStock,ForecastDemand,ReorderQuantity,InventoryStatus
 4 PURPLE FLOCK DINNER CANDLES,138,152,151,0,Sufficient Stock
 50'S CHRISTMAS GIFT BAG LARGE,1885,485,2073,1588,High Risk
 DOLLY GIRL BEAKER,2394,398,2633,2235,High Risk
 I LOVE LONDON MINI BACKPACK,359,320,394,74,Low Risk
 I LOVE LONDON MINI RUCKSACK,1,156,1,0,Sufficient Stock
 NINE DRAWER OFFICE TIDY,54,121,59,0,Sufficient Stock
 OVAL WALL MIRROR DIAMANTE ,120,238,132,0,Sufficient Stock
 RED SPOT GIFT BAG LARGE,1686,70,1854,1784,High Risk
 SET 2 TEA TOWELS I LOVE LONDON ,2621,152,2883,2731,High Risk
 SPACEBOY BABY GIFT SET,449,171,493,322,Medium Risk
 TOADSTOOL BEDSIDE LIGHT ,2,264,2,0,Sufficient Stock
 TRELLIS COAT RACK,217,380,238,0,Sufficient Stock
10 COLOUR SPACEBOY PEN,6267,137,6893,6756,High Risk
12 COLOURED PARTY BALLOONS,2089,422,2297,1875,High Risk
12 DAISY PEGS IN WOOD BOX,322,149,354,205,Medium Risk
12 EGG HOUSE PAINTED WOOD,111,409,122,0,Sufficient Stock
12 HANGING EGGS HAND PAINTED,40,201,44,0,Sufficient Stock
12 IVORY ROSE PEG PLACE SETTINGS,749,180,823,643,High Risk
12 MESSAGE CARDS WITH ENVELOPES,1621,199,1783,1584,High Risk
12 PENCIL SMALL TUBE WOODLAND,3998,358,4397,4039,High Risk
12 PENCILS SMALL TUBE RED RETROSPOT,6393,307,7032,6725,High Risk
12 PENCILS SMALL TUBE SKULL,6727,393,7399,7006,High Risk
12 PENCILS TALL TUBE POSY,3782,463,4160,3697,High Risk
12 PENCILS TALL TUBE RED RETROSPOT,2643,343,2907,2564,High Risk
12 PENCILS TALL TUBE SKULLS,2014,435,2215,1780,High Risk
12 PENCILS TALL TUBE WOODLAND,1849,241,2033,1792,High Risk
12 PINK HEN+CHICKS IN BASKET,41,493,45,0,Sufficient Stock
12 PINK ROSE PEG PLACE SETTINGS,214,326,235,0,Sufficient Stock
12 RED ROSE PEG PLACE SETTINGS,392,210,431,221,Medium Risk
15 PINK FLUFFY CHICKS IN BOX,10,363,11,0,Sufficient Stock
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1266,71,1392,1321,High Risk
16 PC CUTLERY SET PANTRY DESIGN,4,302,4,0,Sufficient Stock
